LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,bathymetry_class,N_components,RiskScore
-174.25,-47.75,554,1,75.9408569,2.8457246,-100,3,6.300151037
-174.25,-47.25,554,1,74.4280853,3.0520833,-100,3,6.260606893
-174.25,-46.75,554,1,74.4280853,3.21416,-100,3,6.318687354
-174.25,-46.25,554,1,79.8752441,3.5234544,-100,3,6.796924344
-174.25,-45.75,554,1,79.8752441,3.8066242,-100,3,6.868598105
-174.25,-45.25,554,1,84.3882599,4.073874,-100,3,7.27392558
-174.25,-44.75,554,1,84.3882599,4.1521916,-100,3,7.280104353
-174.25,-44.25,554,1,81.7204514,4.2575278,-100,3,7.08979816
-174.25,-43.75,554,1,81.7204514,4.4758677,-100,3,7.112041741
-174.25,-43.25,554,1,80.5681686,4.7484498,-100,3,7.051489771
-174.25,-42.75,554,1,80.5681686,4.872961,-100,3,7.070026088
-174.25,-42.25,554,1,81.39888,4.9879999,-100,3,7.154057394
-174.25,48.75,959,1,113.3371582,1.7660875,-100,3,8.252643142
-174.25,49.25,959,1,113.3371582,1.7793298,-100,3,8.271179459
-174.25,49.75,959,1,109.9298325,1.7499096,-100,3,8.056158177
-174.25,50.25,959,1,109.9298325,1.7516367,-100,3,8.062336949
-174.25,50.75,959,1,107.8585892,1.7776934,-100,3,7.957297817
-174.25,51.25,959,1,107.8585892,1.750657,-100,3,7.915282164
-174.25,51.75,959,1,110.8452682,1.7439964,-50,3,9.456268021
-174.25,52.25,959,1,110.8452682,1.6866009,-100,3,7.951119044
-174.25,54.25,959,1,111.2184982,1.7398916,-100,3,8.110531374
-174.25,54.75,959,1,112.9516373,1.6709075,-100,3,8.077166003
-174.25,55.25,959,1,112.9516373,1.6781863,-100,3,8.091995057
-174.25,55.75,959,1,112.9261703,1.626792,-100,3,8.014142524
-173.75,-47.25,554,1,71.6151276,3.0586309,-100,3,6.132088425
-173.75,-46.75,554,1,74.4280853,3.2505896,-100,3,6.326101881
-173.75,-46.25,554,1,77.2776718,3.5890355,-100,3,6.568309762
-173.75,-45.75,554,1,79.8752441,3.8148603,-100,3,6.86983386
-173.75,-45.25,554,1,82.0778732,3.8125169,-100,3,7.052725525
-173.75,-44.25,554,1,80.7676468,4.4868464,-100,3,7.028010435
-173.75,-43.75,554,1,81.7204514,4.5955224,-100,3,7.121927777
-173.75,-43.25,554,1,79.8671417,4.7937541,-100,3,7.003295345
